epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,660.437,2.41394,0.44524,0.94131,0.60178,0.01096,0.00051,0.0001,2.27505,0.14291,0.72299,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921
2,1162.91,2.19631,0.1668,0.66973,0.0303,0.07739,0.01164,0.00388,1.71343,0.35519,0.40212,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659
3,1620.15,1.89302,0.30617,0.49071,0.06236,0.12979,0.03207,0.01467,1.47481,0.44709,0.2716,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796
4,2066.68,1.70175,0.38092,0.37116,0.11284,0.14203,0.0559,0.02725,1.34764,0.47868,0.22555,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2514.68,1.57306,0.41343,0.31694,0.15258,0.17949,0.08455,0.04496,1.2601,0.48649,0.2108,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2959.93,1.49957,0.42293,0.28327,0.17536,0.21141,0.11227,0.06057,1.21485,0.49005,0.19761,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3401.62,1.43609,0.43338,0.26172,0.21501,0.221,0.13199,0.07402,1.20516,0.47831,0.18718,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3844.38,1.38878,0.44194,0.24787,0.21338,0.23891,0.14548,0.08048,1.1622,0.49137,0.17945,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4287.64,1.35814,0.44236,0.24234,0.25771,0.25605,0.17717,0.09882,1.08055,0.50219,0.15684,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4727.63,1.31711,0.44659,0.2243,0.27241,0.27239,0.19399,0.11036,1.03551,0.50656,0.14501,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5168.39,1.29903,0.44315,0.21953,0.29417,0.28102,0.20946,0.11559,1.02435,0.50173,0.14747,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
